AnnoA;GruppoNOME;SESSO;Imm;note
2016/2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13743;
2016/2017;Psicologico                                                                                                                                                                                                                                               ;M;1871;
2016/2017;Psicologico                                                                                                                                                                                                                                               ;F;6634;
2016/2017;Economico                                                                                                                                                                                                                                                 ;M;23458;
2016/2017;Economico                                                                                                                                                                                                                                                 ;F;19266;
2016/2017;Giuridico                                                                                                                                                                                                                                                 ;M;8097;
2016/2017;Giuridico                                                                                                                                                                                                                                                 ;F;13118;
2016/2017;Scientifico                                                                                                                                                                                                                                               ;M;14058;
2016/2017;Scientifico                                                                                                                                                                                                                                               ;F;19179;
2016/2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5804;
2016/2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;971;
2016/2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6426;
2016/2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4858;
2016/2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;28717;
2016/2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8203;
2016/2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4893;
2016/2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4230;
2016/2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9021;
2016/2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21505;
2016/2017;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5684;
2016/2017;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2287;
2015/2016;Educazione e Formazione                                                                                                                                                                                                                                   ;M;870;
2015/2016;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11130;
2015/2016;Arte e Design                                                                                                                                                                                                                                             ;M;2779;
2015/2016;Arte e Design                                                                                                                                                                                                                                             ;F;5956;
2015/2016;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4322;
2015/2016;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7147;
2015/2016;Linguistico                                                                                                                                                                                                                                               ;M;3887;
2015/2016;Linguistico                                                                                                                                                                                                                                               ;F;17325;
2015/2016;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8992;
2015/2016;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12987;
2015/2016;Psicologico                                                                                                                                                                                                                                               ;M;1758;
2015/2016;Psicologico                                                                                                                                                                                                                                               ;F;6119;
2015/2016;Economico                                                                                                                                                                                                                                                 ;M;22055;
2015/2016;Economico                                                                                                                                                                                                                                                 ;F;18485;
2015/2016;Giuridico                                                                                                                                                                                                                                                 ;M;7916;
2015/2016;Giuridico                                                                                                                                                                                                                                                 ;F;12800;
2015/2016;Scientifico                                                                                                                                                                                                                                               ;M;13002;
2015/2016;Scientifico                                                                                                                                                                                                                                               ;F;17614;
2015/2016;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5284;
2015/2016;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;806;
2015/2016;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6743;
2015/2016;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5151;
2015/2016;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;27338;
2015/2016;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7725;
2015/2016;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;5047;
2015/2016;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4431;
2015/2016;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9226;
2015/2016;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21345;
2015/2016;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4564;
2015/2016;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1833;
2014/2015;Educazione e Formazione                                                                                                                                                                                                                                   ;M;855;
2014/2015;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11387;
2014/2015;Arte e Design                                                                                                                                                                                                                                             ;M;2598;
2014/2015;Arte e Design                                                                                                                                                                                                                                             ;F;5890;
2014/2015;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4258;
2014/2015;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6759;
2014/2015;Linguistico                                                                                                                                                                                                                                               ;M;3952;
2014/2015;Linguistico                                                                                                                                                                                                                                               ;F;17013;
2014/2015;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8506;
2014/2015;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12535;
2014/2015;Psicologico                                                                                                                                                                                                                                               ;M;1609;
2014/2015;Psicologico                                                                                                                                                                                                                                               ;F;5789;
2014/2015;Economico                                                                                                                                                                                                                                                 ;M;21149;
2014/2015;Economico                                                                                                                                                                                                                                                 ;F;18082;
2014/2015;Giuridico                                                                                                                                                                                                                                                 ;M;8387;
2014/2015;Giuridico                                                                                                                                                                                                                                                 ;F;13567;
2014/2015;Scientifico                                                                                                                                                                                                                                               ;M;11344;
2014/2015;Scientifico                                                                                                                                                                                                                                               ;F;14958;
2014/2015;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4752;
2014/2015;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;759;
2014/2015;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7427;
2014/2015;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5896;
2014/2015;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;25329;
2014/2015;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7173;
2014/2015;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4835;
2014/2015;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4146;
2014/2015;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11195;
2014/2015;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;23234;
2014/2015;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4286;
2014/2015;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1685;
2013/2014;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1007;
2013/2014;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11467;
2013/2014;Arte e Design                                                                                                                                                                                                                                             ;M;2397;
2013/2014;Arte e Design                                                                                                                                                                                                                                             ;F;5713;
2013/2014;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4009;
2013/2014;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6751;
2013/2014;Linguistico                                                                                                                                                                                                                                               ;M;3984;
2013/2014;Linguistico                                                                                                                                                                                                                                               ;F;16333;
2013/2014;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8187;
2013/2014;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12272;
2013/2014;Psicologico                                                                                                                                                                                                                                               ;M;1779;
2013/2014;Psicologico                                                                                                                                                                                                                                               ;F;6294;
2013/2014;Economico                                                                                                                                                                                                                                                 ;M;20884;
2013/2014;Economico                                                                                                                                                                                                                                                 ;F;18436;
2013/2014;Giuridico                                                                                                                                                                                                                                                 ;M;9660;
2013/2014;Giuridico                                                                                                                                                                                                                                                 ;F;15232;
2013/2014;Scientifico                                                                                                                                                                                                                                               ;M;11742;
2013/2014;Scientifico                                                                                                                                                                                                                                               ;F;16232;
2013/2014;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4478;
2013/2014;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;742;
2013/2014;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;8183;
2013/2014;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;5792;
2013/2014;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;24331;
2013/2014;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6705;
2013/2014;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4975;
2013/2014;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4759;
2013/2014;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9644;
