_id,AnnoA,SedeR,ResidenzaR,GruppoNOME,Isc
4681,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Politico-Sociale e Comunicazione,27
4682,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Scientifico,27
4683,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Agrario-Forestale e Veterinario,34
4684,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Architettura e Ingegneria civile,174
4685,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Arte e Design,28
4686,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Economico,144
4687,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Giuridico,59
4688,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Informatica e Tecnologie ICT,26
4689,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Ingegneria industriale e dell'informazione,139
4690,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Letterario-Umanistico,21
4691,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Linguistico,229
4692,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Medico-Sanitario e Farmaceutico,230
4693,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Politico-Sociale e Comunicazione,165
4694,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Psicologico,41
4695,2011/2012,FRIULI VENEZIA GIULIA,REGIONE ESTERA,Scientifico,79
4696,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Giuridico,5
4697,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Ingegneria industriale e dell'informazione,8
4698,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Linguistico,29
4699,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Medico-Sanitario e Farmaceutico,12
4700,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Politico-Sociale e Comunicazione,16
4701,2011/2012,FRIULI VENEZIA GIULIA,SARDEGNA,Scientifico,14
4702,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Agrario-Forestale e Veterinario,29
4703,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Architettura e Ingegneria civile,20
4704,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Arte e Design,7
4705,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Economico,11
4706,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Educazione e Formazione,18
4707,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Giuridico,27
4708,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Ingegneria industriale e dell'informazione,39
4709,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Letterario-Umanistico,10
4710,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Linguistico,68
4711,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Medico-Sanitario e Farmaceutico,43
4712,2011/2012,FRIULI VENEZIA GIULIA,SICILIA,Politico-Sociale e Comunicazione,30
