AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2019/2020;Roma Tor Vergata;5802;M;12568
2019/2020;Roma Tre;5807;F;18319
2019/2020;Roma Tre;5807;M;12501
2019/2020;Roma UNICUSANO - telematica;5815;F;11255
2019/2020;Roma UNICUSANO - telematica;5815;M;15326
2019/2020;Roma UNINETTUNO - telematica;5813;F;6215
2019/2020;Roma UNINETTUNO - telematica;5813;M;9127
2019/2020;Roma UNINT;5809;F;1416
2019/2020;Roma UNINT;5809;M;351
2019/2020;Roma UNITELMA - telematica;5811;F;1107
2019/2020;Roma UNITELMA - telematica;5811;M;1135
2019/2020;Rozzano (MI) Humanitas University;1510;F;757
2019/2020;Rozzano (MI) Humanitas University;1510;M;424
2019/2020;Salento;7501;F;10786
2019/2020;Salento;7501;M;6656
2019/2020;Salerno;6501;F;19500
2019/2020;Salerno;6501;M;15642
2019/2020;Sannio;6201;F;2224
2019/2020;Sannio;6201;M;2075
2019/2020;Sassari;9001;F;8385
2019/2020;Sassari;9001;M;4925
2019/2020;Siena;5201;F;9338
2019/2020;Siena;5201;M;6095
2019/2020;Siena Stranieri;5202;F;1804
2019/2020;Siena Stranieri;5202;M;370
2019/2020;Teramo;6701;F;3136
2019/2020;Teramo;6701;M;2357
2019/2020;Torino;101;F;45904
2019/2020;Torino;101;M;29092
2019/2020;Torino Politecnico;102;F;9482
2019/2020;Torino Politecnico;102;M;23557
2019/2020;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;37
2019/2020;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;22
2019/2020;Trento;2201;F;8551
2019/2020;Trento;2201;M;8228
2019/2020;Trieste;3201;F;8879
2019/2020;Trieste;3201;M;6629
2019/2020;Tuscia;5601;F;4059
2019/2020;Tuscia;5601;M;3865
2019/2020;Udine;3001;F;7727
2019/2020;Udine;3001;M;7120
2019/2020;Urbino;4101;F;9046
2019/2020;Urbino;4101;M;5471
2019/2020;Venezia Cà Foscari;2701;F;13514
2019/2020;Venezia Cà Foscari;2701;M;7563
2019/2020;Venezia Iuav;2702;F;2124
2019/2020;Venezia Iuav;2702;M;1693
2019/2020;Verona;2301;F;14471
2019/2020;Verona;2301;M;7945
2018/2019;Aosta;701;F;708
2018/2019;Aosta;701;M;315
2018/2019;Bari;7201;F;26756
2018/2019;Bari;7201;M;15985
2018/2019;Bari Politecnico;7202;F;3009
2018/2019;Bari Politecnico;7202;M;6811
2018/2019;Basilicata;7601;F;3712
2018/2019;Basilicata;7601;M;2706
2018/2019;Benevento Giustino Fortunato - telematica;6202;F;392
2018/2019;Benevento Giustino Fortunato - telematica;6202;M;551
2018/2019;Bergamo;1601;F;12037
2018/2019;Bergamo;1601;M;7410
2018/2019;Bologna;3701;F;44743
2018/2019;Bologna;3701;M;35393
2018/2019;Bolzano;2101;F;2558
2018/2019;Bolzano;2101;M;1198
2018/2019;Bra Scienze Gastronomiche;401;F;168
2018/2019;Bra Scienze Gastronomiche;401;M;192
2018/2019;Brescia;1701;F;6375
2018/2019;Brescia;1701;M;7593
2018/2019;Cagliari;9201;F;14577
2018/2019;Cagliari;9201;M;10277
2018/2019;Calabria;7801;F;14610
2018/2019;Calabria;7801;M;10688
2018/2019;Camerino;4302;F;3399
2018/2019;Camerino;4302;M;3434
2018/2019;Casamassima - G.Degennaro;7203;F;599
2018/2019;Casamassima - G.Degennaro;7203;M;903
2018/2019;Cassino;6001;F;3970
2018/2019;Cassino;6001;M;3372
2018/2019;Castellanza LIUC;1201;F;794
2018/2019;Castellanza LIUC;1201;M;1491
2018/2019;Catania;8701;F;22372
2018/2019;Catania;8701;M;16686
2018/2019;Catanzaro;7901;F;6615
2018/2019;Catanzaro;7901;M;4163
2018/2019;Chieti e Pescara;6901;F;15096
2018/2019;Chieti e Pescara;6901;M;8573
2018/2019;Enna KORE;8601;F;3159
2018/2019;Enna KORE;8601;M;1662
2018/2019;Ferrara;3801;F;11810
2018/2019;Ferrara;3801;M;8505
2018/2019;Firenze;4801;F;29880
2018/2019;Firenze;4801;M;21811
2018/2019;Firenze IUL - telematica;4804;F;201
2018/2019;Firenze IUL - telematica;4804;M;73
2018/2019;Foggia;7101;F;6427
2018/2019;Foggia;7101;M;3929
2018/2019;Genova;1001;F;16758
2018/2019;Genova;1001;M;13525
2018/2019;Insubria;1202;F;5828
2018/2019;Insubria;1202;M;4874
2018/2019;L'Aquila;6601;F;8889
2018/2019;L'Aquila;6601;M;7022
2018/2019;Macerata;4301;F;7438
2018/2019;Macerata;4301;M;2759
2018/2019;Marche;4201;F;6719
2018/2019;Marche;4201;M;8286
2018/2019;Messina;8301;F;14092
2018/2019;Messina;8301;M;8346
2018/2019;Milano;1501;F;34750
2018/2019;Milano;1501;M;24682
2018/2019;Milano Bicocca;1509;F;20256
2018/2019;Milano Bicocca;1509;M;12886
2018/2019;Milano Bocconi;1503;F;5774
2018/2019;Milano Bocconi;1503;M;7768
2018/2019;Milano Cattolica;1504;F;26170
2018/2019;Milano Cattolica;1504;M;13723
2018/2019;Milano IULM;1505;F;4453
2018/2019;Milano IULM;1505;M;1797
2018/2019;Milano Politecnico;1502;F;14857
2018/2019;Milano Politecnico;1502;M;29787
2018/2019;Milano San Raffaele;1508;F;1719
2018/2019;Milano San Raffaele;1508;M;1084
2018/2019;Modena e Reggio Emilia;3601;F;13265
2018/2019;Modena e Reggio Emilia;3601;M;11681
2018/2019;Molise;7001;F;3984
2018/2019;Molise;7001;M;2823
2018/2019;Napoli Benincasa;6304;F;7050
2018/2019;Napoli Benincasa;6304;M;1220
2018/2019;Napoli Federico II;6301;F;41101
2018/2019;Napoli Federico II;6301;M;33580
2018/2019;Napoli L'Orientale;6303;F;9227
2018/2019;Napoli L'Orientale;6303;M;2363
2018/2019;Napoli Parthenope;6302;F;4891
